brand,source,title,description,url,publishedAt,review
Crumbl Cookies,Forbes,How Protein-Packed Junk Food Could Make America Fit Again,"Legendary Foods CEO Ron Penna sold his first protein bar company, Quest Nutrition, for $1 billion. His newest flex is selling fitness freaks ‘healthy’ versions of cinnamon rolls, donuts, and mac and cheese—and now brings in $180 million in revenue.",https://www.forbes.com/sites/simonemelvin/2025/08/31/how-protein-packed-junk-food-could-make-america-fit-again/,2025-08-31T10:00:00Z,"How Protein-Packed Junk Food Could Make America Fit Again Legendary Foods CEO Ron Penna sold his first protein bar company, Quest Nutrition, for $1 billion. His newest flex is selling fitness freaks ‘healthy’ versions of cinnamon rolls, donuts, and mac and cheese—and now brings in $180 million in revenue."
Crumbl Cookies,Thepinknews.com,Crumbl Cookies founder comes out after online speculation: ‘People tried to define me’,"Crumbl Cookies co-founder Sawyer Hemsley has come out as gay following online speculation, telling his followers, “People tried to define me.” Hemsley and Jason McGowan co-founded Crumbl Cookies in 2017 and have since opened “more than 1,000 locations across …",https://www.thepinknews.com/2025/08/27/crumbl-cookies-founder-gay-sawyer-hemsley/,2025-08-27T02:03:15Z,"Crumbl Cookies founder comes out after online speculation: ‘People tried to define me’ Crumbl Cookies co-founder Sawyer Hemsley has come out as gay following online speculation, telling his followers, “People tried to define me.” Hemsley and Jason McGowan co-founded Crumbl Cookies in 2017 and have since opened “more than 1,000 locations across …"
Crumbl Cookies,Thepinknews.com,TikTok star Grant Gibbs issues apology for ‘outing’ Crumbl Cookies founder as gay: ‘Genuinely sorry’,"TikTok star Grant Gibbs has issued an apology for “outing” Crumbl Cookies co-founder Sawyer Hemsley. Hemsley came out publicly as gay on Monday (25 August) after rampant online speculation about his sexuality. “Instead of letting others write my story, I want…",https://www.thepinknews.com/2025/08/28/grant-gibbs-apology-sawyer-hemsley/,2025-08-28T00:36:05Z,"TikTok star Grant Gibbs issues apology for ‘outing’ Crumbl Cookies founder as gay: ‘Genuinely sorry’ TikTok star Grant Gibbs has issued an apology for “outing” Crumbl Cookies co-founder Sawyer Hemsley. Hemsley came out publicly as gay on Monday (25 August) after rampant online speculation about his sexuality. “Instead of letting others write my story, I want…"
Crumbl Cookies,Thepinknews.com,Crumbl Cookies founder goes public with new boyfriend just one month after coming out,"Crumbl Cookies founder Sawyer Hemsley has gone public with his new boyfriend, one month after coming out as gay.  On 25 August, Hemsley came out as gay following online speculation, telling his followers, “People tried to define me.” He added: “The truth is, …",https://www.thepinknews.com/2025/09/26/crumbl-cookies-founder-goes-public-with-new-boyfriend-just-one-month-after-coming-out/,2025-09-26T09:31:17Z,"Crumbl Cookies founder goes public with new boyfriend just one month after coming out Crumbl Cookies founder Sawyer Hemsley has gone public with his new boyfriend, one month after coming out as gay.  On 25 August, Hemsley came out as gay following online speculation, telling his followers, “People tried to define me.” He added: “The truth is, …"
Crumbl Cookies,New York Post,Crumbl boss Sawyer Hemsley comes out as gay after rumors about his sexuality surged online: ‘Truth about myself’,"""I’ve come to understand and accept that I’m gay,” Crumbl co-founder Sawyer Hemsley shared on Instagram.",https://nypost.com/2025/08/27/business/crumbl-boss-sawyer-hemsley-comes-out-as-gay-after-rumors-about-his-sexuality-surged-online/,2025-08-27T05:31:44Z,"Crumbl boss Sawyer Hemsley comes out as gay after rumors about his sexuality surged online: ‘Truth about myself’ ""I’ve come to understand and accept that I’m gay,” Crumbl co-founder Sawyer Hemsley shared on Instagram."
Crumbl Cookies,New York Post,"Influencer mom insists kids pay for their own DoorDash and Amazon habits — arousing online debate: ‘Oh no, you’re being a parent’","You're on your own, kid.",https://nypost.com/2025/09/05/lifestyle/influencer-mom-sparks-debate-over-making-kids-pay-for-meals-more/,2025-09-05T23:15:35Z,"Influencer mom insists kids pay for their own DoorDash and Amazon habits — arousing online debate: ‘Oh no, you’re being a parent’ You're on your own, kid."
Crumbl Cookies,The Times of India,Viral heavy soda TikTok trend explained: Here's how this is the sweetest yet the most dangerous obsession,"A bizarre new craze called “heavy soda” is flooding TikTok and gas stations across America. By cranking up the syrup in fountain machines, drinks like Pepsi and Mountain Dew are hitting extreme sweetness levels. While fans call it genius, health experts warn …",https://www.indiatimes.com/trending/viral-heavy-soda-tiktok-trend-explained-heres-how-this-is-the-sweetest-yet-the-most-dangerous-obsession-671396.html,2025-09-25T07:34:42Z,"Viral heavy soda TikTok trend explained: Here's how this is the sweetest yet the most dangerous obsession A bizarre new craze called “heavy soda” is flooding TikTok and gas stations across America. By cranking up the syrup in fountain machines, drinks like Pepsi and Mountain Dew are hitting extreme sweetness levels. While fans call it genius, health experts warn …"
Crumbl Cookies,TODAY,Crumbl Founder Opens up About His Sexuality After ‘Harmful’ Online Speculation,"Crumbl co-founder Sawyer Hemsley publicly came out as gay following viral speculation online bout his sexuality, including from influencer Grant Gibbs.",https://www.today.com/food/people/crumbl-cookies-sawyer-hemsley-comes-out-as-gay-rcna227572,2025-08-27T19:57:38Z,"Crumbl Founder Opens up About His Sexuality After ‘Harmful’ Online Speculation Crumbl co-founder Sawyer Hemsley publicly came out as gay following viral speculation online bout his sexuality, including from influencer Grant Gibbs."
Crumbl Cookies,The-independent.com,‘Heavy soda’ trend takes over TikTok amid growing health warnings,TikTok users have spotted the drink at gas stations in Missouri,https://www.the-independent.com/life-style/heavy-soda-fountain-tiktok-trend-what-heath-warning-b2831701.html,2025-09-23T04:03:06Z,‘Heavy soda’ trend takes over TikTok amid growing health warnings TikTok users have spotted the drink at gas stations in Missouri
Crumbl Cookies,The-independent.com,"‘Heavy soda’ trend sweeps TikTok, sparking health warnings",TikTok users have spotted the drink at gas stations in Missouri,https://www.the-independent.com/life-style/heavy-soda-fountain-trend-tiktok-b2831506.html,2025-09-22T20:56:08Z,"‘Heavy soda’ trend sweeps TikTok, sparking health warnings TikTok users have spotted the drink at gas stations in Missouri"
